Caller,Truth,PRED,TP,FP,FN,Sp,Sn,F1
svaba,371,390,304,86,67,0.7794871794871795,0.8194070080862533,0.7989487516425755
breakerdancer,371,93411,124,93287,247,0.0013274667865668926,0.33423180592991913,0.0026444307009873963
delly,371,860,260,600,111,0.3023255813953488,0.7008086253369272,0.42242079610073113
manta,371,331,315,16,56,0.9516616314199395,0.8490566037735849,0.8974358974358975
gridss,371,298,298,0,73,1.0,0.8032345013477089,0.890881913303438
svaba_or_gridss,371,328,310,18,61,0.9451219512195121,0.8355795148247979,0.8869814020028612
delly_or_gridss,371,743,308,435,63,0.414535666218035,0.8301886792452831,0.5529622980251346
manta_or_gridss,371,323,316,7,55,0.978328173374613,0.8517520215633423,0.9106628242074928
svaba_or_manta_or_gridss,371,342,317,25,54,0.9269005847953217,0.8544474393530997,0.8892005610098177
any_1,371,60100,326,59774,45,0.005424292845257903,0.8787061994609164,0.010782027748838286
any_2,371,390,315,75,56,0.8076923076923077,0.8490566037735849,0.8278580814717477
any_3,371,309,308,1,63,0.9967637540453075,0.8301886792452831,0.9058823529411765
any_4,371,281,281,0,90,1.0,0.7574123989218329,0.8619631901840491
any_5,371,71,71,0,300,1.0,0.19137466307277629,0.3212669683257919
